"manager_id","club_id","season"
"75","139","2018/19"
"75","139","2020/21"
"167","139","2018/19"
"168","139","2013/14"
"169","139","2013/14"
"170","139","2007/08"
"171","139","2006/07"
"171","139","2007/08"
"172","139","2011/12"
"172","139","2012/13"
"172","139","2013/14"
"173","139","2002/03"
"173","139","2003/04"
"173","139","2004/05"
"173","139","2005/06"
"173","139","2006/07"
"174","139","2001/02"
"174","139","2002/03"
"175","139","2018/19"
"247","139","2010/11"
"176","140","2018/19"
"177","140","2018/19"
"178","140","2017/18"
"178","140","2018/19"
"81","141","2013/14"
"81","141","2014/15"
"156","141","2016/17"
"179","141","2016/17"
"180","141","2008/09"
"180","141","2009/10"
"181","141","2009/10"
"182","142","1994/95"
"182","142","2000/01"
"182","142","2001/02"
"183","142","1994/95"
"184","142","1992/93"
"184","142","1993/94"
"184","142","1994/95"
"76","143","2020/21"
"76","143","2021/22"
"107","143","1998/99"
"107","143","1999/00"
"107","143","2000/01"
"107","143","2001/02"
"185","143","2003/04"
"186","143","2002/03"
"187","143","2002/03"
"187","143","2003/04"
"262","143","1992/93"
"262","143","1993/94"
"262","143","1994/95"
"262","143","1995/96"
"262","143","1996/97"
"284","143","1996/97"
"284","143","1997/98"
"77","144","2018/19"
"77","144","2019/20"
"77","144","2020/21"
"77","144","2021/22"
"108","144","1994/95"
"175","144","2015/16"
"175","144","2016/17"
"188","144","2018/19"
"189","144","2016/17"
"189","144","2017/18"
"190","144","2017/18"
"190","144","2018/19"
"192","144","2000/01"
"192","144","2001/02"
"193","144","2001/02"
"193","144","2003/04"
"194","144","1994/95"
"195","144","2001/02"
"261","144","1996/97"
"261","144","1997/98"
"261","144","1998/99"
"261","144","1999/00"
"289","144","2014/15"
"77","145","2013/14"
"77","145","2014/15"
"77","145","2015/16"
"78","145","2015/16"
"78","145","2016/17"
"78","145","2017/18"
"78","145","2018/19"
"78","145","2019/20"
"78","145","2020/21"
"78","145","2021/22"
"106","145","1998/99"
"106","145","1999/00"
"106","145","2000/01"
"106","145","2001/02"
"106","145","2002/03"
"106","145","2003/04"
"160","145","2004/05"
"160","145","2005/06"
"160","145","2006/07"
"160","145","2007/08"
"160","145","2008/09"
"160","145","2009/10"
"196","145","1993/94"
"196","145","1994/95"
"196","145","1995/96"
"196","145","1996/97"
"196","145","1997/98"
"196","145","1998/99"
"197","145","2010/11"
"197","145","2011/12"
"220","145","1992/93"
"220","145","1993/94"
"79","146","2016/17"
"79","146","2017/18"
"79","146","2018/19"
"79","146","2019/20"
"79","146","2020/21"
"79","146","2021/22"
"165","146","2000/01"
