"player_id","club_id","season"
"p1504","120","1997/98"
"p1505","120","1994/95"
"p1505","120","1995/96"
"p1505","120","1996/97"
"p1506","120","1994/95"
"p1506","120","1995/96"
"p1506","120","1996/97"
"p15161","120","2001/02"
"p15161","120","2002/03"
"p15161","120","2003/04"
"p15161","120","2004/05"
"p15161","120","2005/06"
"p15161","120","2006/07"
"p153122","120","2014/15"
"p153122","120","2016/17"
"p153122","120","2017/18"
"p153122","120","2018/19"
"p153127","120","2013/14"
"p153127","120","2014/15"
"p153130","120","2013/14"
"p153130","120","2014/15"
"p153133","120","2013/14"
"p153133","120","2014/15"
"p153133","120","2015/16"
"p153133","120","2016/17"
"p153133","120","2017/18"
